SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
5000-01,PI,5000-01-PMC-21-538,PI_TP,C,AFTER COMPLETING THE PACKAGE AND INSTALLING THE SPOOL TO LEVEL GAUGE ISO: 30078 IT SHOULD BE J: 1 TN | FITUP| WELDING AND RT ( IF J: 1TN THREAD WORKING IS DONE | THERE IS NO NEED FOR THE MENETIONED ITEMS. ONLY THE HISTORY SHEET SHOULD BE CHANGED),PL-01043
5000-01,PI,5000-01-PMC-21-538,PI_TP,C,"THE INSULATION KIT 4""-150# ITEM SHOULD BE INSTALLED BEFOR THE PRECOM",PL-01044
5000-01,PI,5000-01-PMC-21-538,PI_TP,C,STUD BOLTS 5/8 * 95 SHOULD BE INSTALLED BEFOR THE PRECOM,PL-01045
5000-01,PI,5000-01-PMC-21-538,PI_TP,C,DUE TO NIT INSTALLING THE LEVEL GAUGE OF THE PACKAGE AND RECEVING THE REINSTATMENT ACCORDING TO THE SPECIFIED LIMIT | AFTER INSTALLATION OF THE RELATED DEVICE | THE BRANCHING SHOULD BE DONE WITHOUT MISMATCHING THE WRIST AND FULLY LEVEL TENSION,PL-01046
5000-01,PI,5000-01-PMC-23-586,PI_TP,B,ALL ORIGINAL B|G|N SHALL BE INSTALLED AFTER TEST,PL-01549
5000-01,PI,5000-01-PMC-24-587,PI_TP,C,LEVEL GAUGE SHALL BE INSTALL,PL-02254
5000-01,PI,5000-01-PMC-24-587,PI_TP,C,ORIFICE PLATE SHALL BE INSTALL. INSTRUMENT INDICATOR SHALL BE INSTALL,PL-02255
5000-01,PI,5000-01-PMC-24-587,PI_TP,C,ORIFICE PLATE SHALL BE INSTALL. INSTRUMENT INDICATOR SHALL BE INSTALL,PL-02256
5000-01,PI,5000-01-PMC-24-587,PI_TP,C,INSTRUMENT INDICAROR SHALL BE INSTALL,PL-02257
5000-01,PI,5000-01-PMC-24-587,PI_TP,C,ALL ORIGINIL B|G FOR ALL DEVICES SHALL BE INSTALL,PL-02258
5000-01,PI,5000-01-PMC-24-587,PI_TP,C,ALL VALVES SHALL BE LUBRICATE,PL-02259
5000-01,PI,5000-01-PMC-25-592,PI_TP,C,ALL INSTRUMENT DEVICE SHALL BE INSTALL AFTER HYDRO TEST,PL-01910
5000-01,PI,5000-01-PMC-25-592,PI_TP,C,GROUTING FOR SUPPORT SHALL BE COMPELETE,PL-01911
5000-01,PI,5000-01-PMC-25-592,PI_TP,C,N|B|G BETWEEN J:3|4 SHALL BE INSTALL AFTER OPPOSITE LINE COMPELETE,PL-01912
